,CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO,padded_csd
21397,25,Q,Q200,PS/MS 200 - The Pomonok School & STAR Academy,MS Core,GEN ED,MATH,MS Math Core,-,97.0,4.0,24.3,21.0,27.0,STARS,,25
21398,25,Q,Q200,PS/MS 200 - The Pomonok School & STAR Academy,MS Core,GEN ED,SCIENCE,MS Science Core,-,97.0,4.0,24.3,21.0,27.0,STARS,,25
21399,25,Q,Q200,PS/MS 200 - The Pomonok School & STAR Academy,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,97.0,4.0,24.3,21.0,27.0,STARS,,25
21400,25,Q,Q200,PS/MS 200 - The Pomonok School & STAR Academy,MS Core,CTT,ENGLISH,MS English Core,-,73.0,3.0,24.3,23.0,25.0,STARS,,25
21401,25,Q,Q200,PS/MS 200 - The Pomonok School & STAR Academy,MS Core,CTT,MATH,MS Math Core,-,73.0,3.0,24.3,23.0,25.0,STARS,,25
21402,25,Q,Q200,PS/MS 200 - The Pomonok School & STAR Academy,MS Core,CTT,SCIENCE,MS Science Core,-,73.0,3.0,24.3,23.0,25.0,STARS,,25
21403,25,Q,Q200,PS/MS 200 - The Pomonok School & STAR Academy,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,73.0,3.0,24.3,23.0,25.0,STARS,,25
21404,25,Q,Q200,PS/MS 200 - The Pomonok School & STAR Academy,,,,,,,,,,,,13.5,25
21405,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,0K,GEN ED,-,-,-,59.0,3.0,19.7,18.0,21.0,ATS,,25
21406,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,0K,CTT,-,-,-,17.0,1.0,17.0,17.0,17.0,ATS,,25
21407,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,01,GEN ED,-,-,-,66.0,3.0,22.0,22.0,22.0,ATS,,25
21408,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,01,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,25
21409,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,02,GEN ED,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,,25
21410,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,02,CTT,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,,25
21411,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,03,GEN ED,-,-,-,46.0,2.0,23.0,21.0,25.0,ATS,,25
21412,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,03,CTT,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,,25
21413,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,04,GEN ED,-,-,-,47.0,2.0,23.5,23.0,24.0,ATS,,25
21414,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,04,CTT,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,,25
21415,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,05,GEN ED,-,-,-,42.0,2.0,21.0,20.0,22.0,ATS,,25
21416,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,05,CTT,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,,25
21417,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,0K-09,SPEC ED,-,-,12:1,4.0,1.0,4.0,4.0,4.0,ATS,,25
21418,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,0K-09,SPEC ED,-,-,12:1:1,35.0,4.0,8.8,6.0,13.0,ATS,,25
21419,25,Q,Q201,P.S. 201 The Discovery School for Inquiry and Research,,,,,,,,,,,,10.1,25
21420,25,Q,Q209,P.S. 209 Clearview Gardens,0K,GEN ED,-,-,-,52.0,2.0,26.0,26.0,26.0,ATS,,25
21421,25,Q,Q209,P.S. 209 Clearview Gardens,0K,CTT,-,-,-,21.0,1.0,21.0,21.0,21.0,ATS,,25
21422,25,Q,Q209,P.S. 209 Clearview Gardens,0K,G&T,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,,25
21423,25,Q,Q209,P.S. 209 Clearview Gardens,01,GEN ED,-,-,-,56.0,2.0,28.0,27.0,29.0,ATS,,25
21424,25,Q,Q209,P.S. 209 Clearview Gardens,01,CTT,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,,25
21425,25,Q,Q209,P.S. 209 Clearview Gardens,01,G&T,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,,25
21426,25,Q,Q209,P.S. 209 Clearview Gardens,02,GEN ED,-,-,-,43.0,2.0,21.5,20.0,23.0,ATS,,25
21427,25,Q,Q209,P.S. 209 Clearview Gardens,02,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,25
21428,25,Q,Q209,P.S. 209 Clearview Gardens,02,G&T,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,,25
21429,25,Q,Q209,P.S. 209 Clearview Gardens,03,GEN ED,-,-,-,52.0,2.0,26.0,26.0,26.0,ATS,,25
21430,25,Q,Q209,P.S. 209 Clearview Gardens,03,G&T,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,,25
21431,25,Q,Q209,P.S. 209 Clearview Gardens,04,GEN ED,-,-,-,53.0,2.0,26.5,26.0,27.0,ATS,,25
21432,25,Q,Q209,P.S. 209 Clearview Gardens,04,G&T,-,-,-,32.0,1.0,32.0,32.0,32.0,ATS,,25
21433,25,Q,Q209,P.S. 209 Clearview Gardens,05,GEN ED,-,-,-,48.0,2.0,24.0,23.0,25.0,ATS,,25
21434,25,Q,Q209,P.S. 209 Clearview Gardens,05,CTT,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,,25
21435,25,Q,Q209,P.S. 209 Clearview Gardens,05,G&T,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,,25
21436,25,Q,Q209,P.S. 209 Clearview Gardens,0K-09,SPEC ED,-,-,12:1:1,29.0,3.0,9.7,8.0,12.0,ATS,,25
21437,25,Q,Q209,P.S. 209 Clearview Gardens,,,,,,,,,,,,16.7,25
